index,drugs,CAS Number,Accession Number in DrugBank,SMILES
0,6-Azauridine,2018-19-1,DB03718,[H][C@@]1(O)[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1N=CC(=O)NC1=O
1,Abacavir,136470-78-5,DB01048,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1
2,Acyclovir,59277-89-3,DB00787,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2
3,Alisporivir,254435-95-5,DB12139,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(CC)C(=O)[C@@H](C)N(C)C1=O)C(C)C
4,Amantadine,768-94-5,DB00915,NC12CC3CC(CC(C3)C1)C2
5,Amikacin,37517-28-5,DB00479,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
6,Amiloride,2609-46-3,DB00594,NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N
7,Amiodarone,1951-25-3,DB01118,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2
8,Amodiaquine,86-42-0,DB00613,CCN(CC)CC1=C(O)C=CC(NC2=C3C=CC(Cl)=CC3=NC=C2)=C1
9,Ampicillin,69-53-4,DB00415,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
